# time,  FLS,  FRS,  RLS,  RRS,  FLA,  FRA,  RLA,  RRA,  FLS_cmd,  FRS_cmd,  RLS_cmd,  RRS_cmd,  FLA_cmd,  FRA_cmd,  RLA_cmd,  RRA_cmd, 
1708525400742274313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400752280206 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400762276701 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400772272128 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400782281521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400792271931 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400802278170 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400812280450 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400822258242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400832279210 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400842273646 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400852240152 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400862259089 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400872226667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400882294557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400892274078 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400902261202 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400912278816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400922245154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400932277476 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400942253738 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400952270281 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400962245272 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400972271194 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400982244283 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525400992270024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401002242586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401012268336 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401022248123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401032276369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401042256987 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401052275118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401062256557 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401072276560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401082275405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401092269403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401102241949 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401112270559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401122242881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401132269550 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401142242563 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401152269455 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401162274927 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401172275161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401182252262 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401192275372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401202275391 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401212276034 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401222249853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401232272248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401242254049 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401252274852 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401262243248 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401272267951 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401282242338 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401292267845 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401302241884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401312258143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401322331592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401332350698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401342357259 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401352283457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401362273888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401372285329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401382261467 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401392283952 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401402263741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401412278427 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401422263346 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401432280055 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401442253068 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401452349228 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401462338567 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401472351970 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401482336779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401492295842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401502264645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401512280951 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401522282779 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401532350242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401542346933 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401552358836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401562354080 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401572352816 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401582351473 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401592348890 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401602351676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401612351230 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401622352155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401632354917 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401642361167 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401652299866 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401662251282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401672272392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401682249268 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401692268730 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401702241509 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401712268465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401722242691 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401732267882 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401742242819 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401752267451 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401762241766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401772267242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401782249592 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401792253333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401802256105 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401812282508 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401822283997 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401832280272 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401842281889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401852283313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401862354609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401872349410 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401882355003 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401892365642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401902321559 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401912363964 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401922355175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401932353677 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401942351583 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401952350569 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401962349515 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401972351135 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401982358314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525401992327652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402002357604 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402012359392 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1708525402022368421 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
